breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,network
694,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
123 10,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
123 12,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
662 01,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,closed,chapelcross33kv.csv
662 10,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
662 20,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
673 01,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
673 10,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,closed,chapelcross33kv.csv
673 20,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
675 10,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
676 01,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
676 10,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
676 20,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,closed,chapelcross33kv.csv
678 11,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
678 12,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
679 01,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,closed,chapelcross33kv.csv
679 10,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
679 20,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
682 10,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
683 01,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,closed,chapelcross33kv.csv
683 10,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
683 20,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
692 01,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
694 12,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
694 13,closed,open,open,open,open,open,open,open,open,open,open,open,open,closed,closed,closed,chapelcross33kv.csv
694 22,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
694 23,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,closed,closed,chapelcross33kv.csv
698 01,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 11,closed,open,open,open,open,open,open,open,open,open,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 12,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 13,closed,open,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 14,open,open,open,open,open,open,open,open,open,open,open,open,closed,closed,closed,closed,chapelcross33kv.csv
698 15,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 16,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 21,closed,open,open,open,open,open,open,open,open,open,open,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 22,open,open,open,open,open,open,open,open,open,open,open,open,closed,closed,closed,closed,chapelcross33kv.csv
698 23,open,open,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 24,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 25,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
698 26,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
699 CHAP,closed,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
699 GENERATOR,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
761 CHAP,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
761 CUSTOMER,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
761 WINDFARM,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
780 11,closed,open,open,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
780 12,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
780 13,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,chapelcross33kv.csv
