breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
699 CHAP,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
699 CUSTOMER,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 1,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 2,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 3,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 4,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 5,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 6,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 7,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 8,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 9,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 10,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 11,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 12,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 13,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 14,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 15,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 16,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 17,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
STEVENS AUX 18,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
