breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
120,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
205,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
330,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
410,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
500,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
615,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
710,closed,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
800,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
915,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
1005,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
1105,closed,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
698 01,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
GRID 1,closed,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
GRID 2,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
