breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
698 01,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
GRID T1,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
GRID T2,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
710,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
120,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
330,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
500,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
205,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
615,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
1005,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
800,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
915,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
1105,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
410,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
