breaker,state
698 16,open
698 15,open
699 CHAP,open
SC generator Breaker,open
698 14,open
698 13,open
GRID 1,open
698 12,open
698 11,open
698 01,open
698 21,open
698 22,open
698 23,open
698 24,open
698 25,open
698 26,open
678 11,open
678 12,open
GRID 2,open
694,open
M12,open
M13,open
M14,open
M11,open
781 12,open
781 11,open
MP10,open
LH10,open
LH01,open
LH20,open
A10,open
662 01,open
A20,open
L13,open
KB10,open
683 10,open
683 01,open
683 20,open
694 12,open
694 22,open
679 10,open
679 01,open
679 20,open
673 10,open
673 01,open
673 20,open
761 CHAP,open
761 WINDFARM,open
761 CUSTOMER,open
123 10,open
123 12,open
785 21,open
785 22,open
785 CUSTOMER BREAKER,open
