Name,Stage - Post Blackout,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
lne_CHAP1-_HAKB1-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Line(1),-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Line,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CRAG5B_LAHO5-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7211992758876173e-08,2.1179671505400538e-08,2.210738082713651e-08,2.1958428230302913e-08,2.205805269811643e-08,2.1967089513444432e-08,2.1946570070604514e-08
CHAPX3_LAHO3B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.202954553927261,1.0958197246818044,1.0956779347847467,1.0957055969365341,3.5189596689857856
LOBI3B_MOFTT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.584216053774022,2.4533974711222486
lne_CHAP1-_DUMF1-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAP3-_LOBI3B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61024414565422,7.5440923672499105,12.434267306926003,10.278242630798452
CHAP3-_CHAPX1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.58534701831103,15.633985449423648,13.44724348803528,10.982561658163664
CHAPX4_KIBAT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7693233794128544,2.0675600575911948,1.372277722116121
CHAPX4_MOFTT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.405342724362693,3.2763880400042047,1.936548237075093
CHAP3-_CHAPX3_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.210469573724921,-1.103123061732981,-1.103194211131535,-1.1031863050130721,-5.863415719907689
GRNA3A_GRNAT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007475280761014055,0.007264717260785447,0.0074765306347341215,0.0074411504488448655,2.3310148167276954
LOBI3A_LOBIT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.76033249014638,7.35374597940888,7.353352968703636,7.234598030682326
LAHO3A_LAHOT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.788054050103248,9.560777555224481,6.364145874335568,6.3642459491112175,6.364180309429175,6.364240339179493,3.9467100846694407
LAHO3B_LAHOT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208105914160251e-08,2.1817209893893063e-08,2.216598311560335e-08,2.2060699832129947e-08,2.4073985180469366
MIBI3-_MIBIT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.490783028278798,7.858553145675539,5.2319185785316105,5.231736153730718,5.231816118805992,5.231795222436067,5.231843715076131,5.2316705683134455
GRNA3B_GRNAT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.395013867698779,10.776162372076055,7.1725649326689735,7.172454018794019,7.172561798922838,4.836245152947962
MIBI3-_LAHO3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.046881417843204,10.595931647275432,6.760100236714723,6.762858989633012,6.750772514675036,6.752415807209085,4.095729541048652
LAHO3B_NEWCT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1963326935936993,1.0941402044820614,1.0940464637844811,1.0940662780382304,1.0941146477571586
CHAP3-_MIBI3-_1,0,0,0.0,0.0,0.0,0.5010356873517294,0.5010324905902471,0.5010298144911371,0.5010697311531335,11.16762957538997,24.255991153100933,16.720397907145887,12.710649138660607,7.642147212096248,7.617087034056839,7.624423803439531,4.904404856740689
ANANT1_CHAP3-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.238214274585852,9.150542399232203,6.0823208850270465,6.082450552027078,6.0818413120043875,6.08271185439353,6.082119612577214,6.082270132032201,6.111537584030444
CARU3A_CHAPX1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0622500073696629e-08,-1.0944836558754924e-08,-1.0906891871733263e-08,-1.1042116502479227e-08
ANANT2_CHAP3-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.238651472710023,9.150771056523611,6.0824174104190085,6.082547531350402,6.081936159960898,6.082807908356753,6.082215437600665,6.082366479509814,6.052449419526031
EWHC3-_MIBI3-_1,0,0,0.0,0.0,0.0,0.500562333944375,0.500555291648803,0.5005489360458856,0.5006200058378371,0.5006593834440904,0.5006866773689256,0.5006534812357657,0.5006156099727971,-4.446589831038148,-4.453013714125438,-4.449954020927359,-4.459716888485515
CRAG5A_LAHO5-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7410875629295693e-08,-2.1376832325203493e-08,-2.2306044849522737e-08,-2.2156065664841538e-08,-2.2259992921948988e-08,-2.216777234557762e-08,-2.2145036160474067e-08
CHAPX4_LOBI3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.174666112765093,-5.343948106963757,-3.3088259692269837
CHAPX1_LOBI3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.534535476552888,15.5860501959048,13.411799292279044,10.959291190782185
CHAP3-_GRNA3B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.923339687879167,11.056595057963051,7.298547976852499,7.294760093409408,7.295472777974782,4.890947462694885
CHAP3-_MINS3-_1,0,0,0.0,0.0,0.5024026611619359,0.5023940811191105,0.5023562065248591,0.5023218499365871,0.5026977888688835,0.5027372361320187,-19.236814173262424,-19.232591178640515,-19.24653342469193,-19.20545969203423,-19.24203775565707,-19.238287980986254,-19.24523825354939
CHAP3-_STCR3-_1,0,0,-1.1414794506875064e-08,-1.1414794506875064e-08,-0.5024026724983158,-1.0034297798286729,-1.0320337779754558,-1.1219899204185135,-25.555566640919583,-30.046022937129607,-17.260924134804693,-24.652841594075092,-19.010270402363858,-40.27924792744175,-32.217834662846876,-34.91244662332815,-30.05790493953741
LOBI3B_LOBIT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.791633997308953,7.36702109989948,7.366770663054595,7.488805825830635
lne_BR001-_DUMF1-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_CHAP1-_BR001-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_AL048A_GRNA1-_1,0,0,0.0,0.0,0.0,0.0,4.26662365160535e-08,0.08927406246508496,0.048096729577181085,0.04771760345510395,0.04942909238447779,0.049228982011336964,0.07061565983103602,0.048343888121979706,0.07001318489187536,0.049508007542566956,0.0703980460681598
lne_CHAP1-_AL048A_1,0,0,0.0,0.0,0.0,0.0,5.9125513156232934e-05,0.08958144448869698,0.048286471671882714,0.04790584963478417,0.04962408670208318,0.049423186897888605,0.07091751505774146,0.04853460333182724,0.07031236734300772,0.04970331316345078,0.07069889018882192
lne_AL048B_GRNA1-_1,0,0,0.0,0.0,0.0,0.0,6.46989141542308e-12,6.556033036467452e-12,4.000848406098077e-12,3.967094268510869e-12,4.108546991933148e-12,4.0924953211712595e-12,6.3277869340292066e-12,4.018654238048015e-12,6.269706447265856e-12,4.116431510031238e-12,6.297307639268387e-12
lne_CHAP1-_AL048B_1,0,0,0.0,0.0,0.0,0.0,-2.3269467722954486e-12,-2.355018055970479e-12,-1.4335366252458807e-12,-1.4222379693944596e-12,-1.4732324882633407e-12,-1.4672638628137383e-12,-2.268908813943235e-12,-1.4408972662649223e-12,-2.2489084535217722e-12,-1.4755900327022032e-12,-2.2614053056328292e-12
lne_BV001A_ECCF1J_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_CHAP1-_BV001A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_BV001B_ECCF1K_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_CHAP1-_BV001B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
