Name,Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,component
ECCF1K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
CHAP1A-,0,0,0,0,0,0,0,,,1.00606986,1.00606986,1.00606986,1.012349632,1.012349632,1.012349632,1.012349632,1.012349632,0.789840295,0.789840295,0.78672062,0.78672062,0.78672062,0.799078802,0.993672813,0.993672813,0.791864449,0.791864449,0.791864449,0.989283549,0.801340156,0.992028455,0.992028455,0.992028455,0.992028455,0.992028455,busbars_voltage
Terminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
HAKB1-,0,0,1.039386955,1.039386955,1.039386955,1.039386955,1.039386955,1.039386955,1.039386955,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115078905,1.115080728,1.115080728,1.115083612,1.115083612,1.115083612,1.115078897,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,1.115080728,busbars_voltage
Terminal(1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
CHAP1-,0,0,0,0,0,0,0,0,0,1.00606986,1.00606986,1.00606986,1.012349632,1.012349632,1.012349632,1.012349632,1.012349632,0.789840295,0.789840295,0.78672062,0.78672062,0.78672062,0.799078802,0.993672813,0.993672813,0.791864449,0.791864449,0.791864449,0.989283549,0.801340156,0.992028455,0.992028455,0.992028455,0.992028455,0.992028455,busbars_voltage
ECCF1J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
GRNA1-,0,0,0,0,0,0,0,0,0,0,0,0,1.012819976,1.012819976,1.012819976,1.012819976,1.012819976,0.790210994,0.790210994,0.787089855,0.787089855,0.787089855,0.799453835,0.99414115,0.99414115,0.792236097,0.792236097,0.792236097,0.989749804,0.80171625,0.992496004,0.992496004,0.992496004,0.992496004,0.992496004,busbars_voltage
DUMF1-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
LAHOT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864269366,0.924145749,0.924145749,0.921136798,0.921136798,0.921136798,0.935295282,0.933434189,0.960805255,0.960805255,0.960805255,0.960805255,0.960805255,busbars_voltage
