Name,Rating (kA),Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
lne_CHAP1-_HAKB1-_1,0.5773503,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRAG5B_LAHO5-_1,0.2729292,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAPX3_LAHO3B_1,0.4279915,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5923929422254546e-09,1.7683213062038202e-09,1.8069893289006684e-09,1.8008382245524056e-09,1.8049581372584665e-09,1.8011971959043116e-09,1.8003473080601119e-09
LOBI3B_MOFTT2_1,0.1940247,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017534127819413013,0.008828194096819739,0.008700806957947381,0.008721750451447711,0.028465123283814054
lne_CHAP1-_DUMF1-_1,0.747931,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32430965410439005,0.17605781130281745
CHAP3-_LOBI3B_1,0.3649554,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAP3-_CHAPX1_1,0.4309132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373767208013877,0.1569173310619722,0.25917415127431775,0.21619590013192988
CHAPX4_KIBAT1_1,0.3110693,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20438552491228937,0.19851546403432466,0.1706988749940484,0.1383064074804426
CHAPX4_MOFTT1_1,0.3110693,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05395179424847285,0.03964210056913193,0.025691824070646713
CHAP3-_CHAPX3_1,0.4309132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11825540773071118,0.08607157012391768,0.04989926150210518
GRNA3A_GRNAT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5825217376524998,0.8462703068355286,0.837823241270103,0.8391793393333993,4.291079296789537
LOBI3A_LOBIT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001308660638482647,0.0001290097820996971,0.00013087700287606714,0.00013056696960611353,0.041838689767213985
LAHO3A_LAHOT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2834854628026119,0.13649490734513742,0.13548248308309416,0.13106612185529828
LAHO3B_LAHOT2_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899341008784647,0.19627287238906865,0.12138928098354146,0.12179613986193974,0.1199455994596566,0.12019096314245217,0.07446963929435642
MIBI3-_MIBIT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8805690790573946e-10,3.8824313533194293e-10,3.8880255941140053e-10,3.8787792366186694e-10,0.043643883235691225
GRNA3B_GRNAT2_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19026810187124477,0.14439783687326518,0.09467490353563568,0.09286903289089449,0.09313178421624238,0.0919000321689701,0.09205932459008259,0.09148397441759495
MIBI3-_LAHO3A_1,0.1940247,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002943763124474161,0.0021446081908323075,0.001437304173642478,0.0014161720086178528,0.0014196718593142423,0.0009471899575878986
LAHO3B_NEWCT1_1,0.4279915,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395542220903159,0.4329506045632067,0.267767837613575,0.2686653115987924,0.264583277365835,0.2651245154557718,0.16426964670134456
CHAP3-_MIBI3-_1,0.3649554,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03304421867487394,0.01664167624644979,0.01640186270852633,0.01644136023565214,0.016590801568775734
ANANT1_CHAP3-_1,0.3649554,0,0,0.0,0.0,0.0,0.010332155323871819,0.010374039729010007,0.0104139581113885,0.010070984020391036,0.19933818668832767,0.4378038822180509,0.29729513075070974,0.22183389170905465,0.14564994095696596,0.14050419486839036,0.1425639952909573,0.09100480614147222
CARU3A_CHAPX1_1,0.4309132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574929240997123,0.1929123701544675,0.1259315531200841,0.12618961597935532,0.12497256706272956,0.12734506995890346,0.12553201318257812,0.12583022382209685,0.1257905605130603
ANANT2_CHAP3-_1,0.3649554,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402682342020095,0.001423803459034034,0.0014213338677631173,0.0014301178141835963
EWHC3-_MIBI3-_1,0.4006461,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23943914538945088,0.1793722458563807,0.11708761773008707,0.11732758051996756,0.11619589742762614,0.11840185845184303,0.11671610175994938,0.11699339562060308,0.11582401850520135
CRAG5A_LAHO5-_1,0.5616043,0,0,0.0,0.0,0.0,0.021244997542403672,0.021155318990930972,0.021073455810290742,0.021944343448142403,0.02239112232560571,0.022688655014985782,0.02232514933145789,0.02189494038638513,0.1498398184964762,0.14049114848397198,0.14514805320683166,0.12930712288270585
CHAPX4_LOBI3A_1,0.1940247,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010324438959054183,0.0011440462727658977,0.001168603694499687,0.0011646947028296209,0.0011673083349720273,0.001164921894479872,0.0011643831515855574
CHAPX1_LOBI3A_1,0.4309132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084800434519289,0.22557501153240506,0.1346758254119651
CHAP3-_GRNA3B_1,0.4310007,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28354294070456193,0.2752366017185965,0.23665227618714219,0.19156389545481806
CHAP3-_MINS3-_1,0.6998185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305703719288891,0.3136817425815396,0.21022771429433118,0.20713681202171264,0.20764871870132035,0.1385410156029999
CHAP3-_STCR3-_1,2.799274,0,0,0.0,0.0,0.19046374970058114,0.19028230406525132,0.1894781470055713,0.18874408174988733,0.19655383310594496,0.1973464835647138,1.3784043133672845,1.3917999175363382,1.3431455719255896,1.4700174171090747,1.3608481858320707,1.3735784959904422,1.348788026016197
LOBI3B_LOBIT2_1,17.47797,0,0,0.5664240995419203,0.5664240995419203,0.4896722843330788,0.5340801035788104,0.6438700736420182,0.7478379498973895,2.859437853562085,3.3741926073848396,1.9470240093161035,2.7825520431933253,2.189348968339379,4.576157057274623,3.6753841253255732,3.978557324982029,3.4391485003203455
lne_AL048A_GRNA1-_1,0.63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010299466261797254,0.0047903861061803195,0.0048869744954944715,0.005103145647062605
lne_CHAP1-_AL048A_1,0.57735,0,0,0.0,0.0,0.0,0.0,0.001468248404595424,0.005171044589555258,0.004069854595505861,0.004053779705380181,0.004125793276891755,0.00411743330943575,0.005136501308882714,0.004080275883689063,0.0051136841071118344,0.004129085443842174,0.005127862991188945
lne_AL048B_GRNA1-_1,0.63,0,0,0.0,0.0,0.0,0.0,0.004808850418731237,0.009232460941769062,0.007246200662462256,0.007217579985132333,0.007345811787319162,0.007330927195904604,0.00913620629099279,0.007264760386937139,0.009095695173175662,0.007351673360821462,0.00912092120806977
lne_CHAP1-_AL048B_1,0.5773,0,0,0.0,0.0,0.0,0.0,1.8196680532902258e-05,1.8315920859428543e-05,1.4290242596296525e-05,1.4233799654834366e-05,1.4486744955438294e-05,1.4457390908792333e-05,1.7978131758471724e-05,1.4326864725449347e-05,1.789871829048884e-05,1.4498304616201615e-05,1.7948380786285924e-05
