Name,Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
lne_CHAP1-_HAKB1-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Line(1),-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Line,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
CRAG5B_LAHO5-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2217824134257655e-15,-1.1451379108118501e-14,3.244010388702052e-15,1.3081688005506658e-14,2.6282536013771732e-14,1.091831929125941e-14,-8.384026029017197e-14
CHAPX3_LAHO3B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12300373964708988,-0.0061391265517235505,-0.00891768516133451,-0.008369519217577615,-0.4832397816999361
LOBI3B_MOFTT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06702165058448406,-0.5367758278251504
lne_CHAP1-_DUMF1-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAP3-_LOBI3B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9444784139334725,0.8827740418363659,1.4771433855677176,2.1029579128031166
CHAP3-_CHAPX1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4766479955798824,1.7563215827146,1.147319097607637,-0.435170920158201
CHAPX4_KIBAT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3199704837472511,-0.31264599003376914,-0.29028201656640407
CHAPX4_MOFTT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2230823370237256,0.08397054932568426,0.34243146666720686
CHAP3-_CHAPX3_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04309770240248523,0.16756182936590713,0.17504690189551575,0.17371258527297723,0.9800847644663648
GRNA3A_GRNAT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.056509586725324e-11,1.7533263035884872e-11,3.210609122311636e-11,1.8757369876082342e-10,-0.359135951268881
LOBI3A_LOBIT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1247824846362513,0.5344876166580901,0.5265899064707862,-0.8970417620050006
LAHO3A_LAHOT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1345589490457932,1.61250363526854,0.7821295872139742,0.7857671674228304,0.7833316774619914,0.7855550563586577,1.071888128787626
LAHO3B_LAHOT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1599599568871932e-14,2.095033139342962e-14,8.074531176041627e-16,6.720218969754303e-15,-0.5059791265207436
MIBI3-_MIBIT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13642430758254376,-0.08815955456329183,-0.20094537514230892,-0.20454852737066997,-0.20299303233696264,-0.2033999887228306,-0.20244313250820278,-0.2058896754289692
GRNA3B_GRNAT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2978644439812377,0.49515950089579563,0.02788318485289709,0.024716328643608954,0.02779025090141607,0.10821217053917276
MIBI3-_LAHO3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754105346712518,2.3546940729268764,1.0660231052164784,1.0715669190676753,1.0605126646654999,1.0638712200012383,1.1787329065267527
LAHO3B_NEWCT1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14065201219104906,0.01999436217448336,0.018161446070716125,0.018551984471617156,0.019505294423181718
CHAP3-_MIBI3-_1,0,0,0.0,0.0,0.0,-0.3302558167119571,-0.33917186628388885,-0.3474097053913241,-0.2644038314505092,0.21168421305172025,5.918752845258939,2.5925501401448985,0.9652563582754929,-3.0129854285701767,-2.5674073510920317,-2.8418322959409514,-1.7897300672230108
ANANT1_CHAP3-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8534546340619955,0.28163784945235637,-0.04831778394603825,-0.046357925985848425,-0.055566919043720464,-0.04832645202803265,-0.051344942317299136,-0.0490862657008293,-0.053834002551054194
CARU3A_CHAPX1_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0634599893894453e-14,-2.049249173112806e-14,-6.238179730005281e-15,-5.471484597052076e-15
ANANT2_CHAP3-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8707643822561089,0.2904016416818247,-0.0454035364707388,-0.04341714099132199,-0.05275129795712452,-0.04542476233997439,-0.048471785472158135,-0.04618243824824031,-0.051335141791981176
EWHC3-_MIBI3-_1,0,0,0.0,0.0,0.0,-0.3310658550387049,-0.33998848537552007,-0.3482326211294643,-0.26517343582762387,-0.22625217815295584,-0.20158981933192327,-0.2318537750827632,-0.2696226889212684,-4.042529091864212,-3.5743167445455795,-3.8574813535961843,-2.8254156419695646
CRAG5A_LAHO5-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.991020484817569e-13,-5.623985940202121e-13,-3.9106937489738347e-13,-1.4209479228722172e-12,3.208050784270857e-13,-2.3988542385606823e-12,6.84142286500795e-12
CHAPX4_LOBI3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09688814672352541,0.22867544070802848,-0.05214945010081162
CHAPX1_LOBI3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4806913637529715,1.7682237205418114,1.1807613018395644,-0.3792280108829682
CHAP3-_GRNA3B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211646270941182,0.9556097892085624,0.2082542356857089,0.19693903299183502,0.20135761392676832,0.15669426108156914
CHAP3-_MINS3-_1,0,0,0.0,0.0,0.7254824290246349,0.721693159905209,0.7047699204287681,0.6891351284493528,0.8467282036308144,0.8617010212381417,-4.0200750713810285,-4.719372248232629,-1.3710412415512891,-7.795417353999688,-2.926194401890676,-3.743932555091036,-1.9551908483558886
CHAP3-_STCR3-_1,0,0,5.4094106448852495e-14,5.4094106448852495e-14,-0.725482429024848,-0.39143734319314294,0.6271957572310369,1.5862930755149125,-1.1289822785009722,-0.4771473955663659,-0.5947928759447185,1.2102152161516848,1.692063787079154,4.853888939979832,5.026377299076323,5.4768756232041245,4.904143798967786
LOBI3B_LOBIT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5884904091856615,0.6470419931689764,0.6404388656415605,2.1269897511895905
lne_BR001-_DUMF1-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_CHAP1-_BR001-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_AL048A_GRNA1-_1,0,0,0.0,0.0,0.0,0.0,-0.36859667713361977,-1.3035529777421282,-0.8008929013877125,-0.794578738703176,-0.8230651271933674,-0.8197330036229179,-1.2719833460016103,-0.8050013792012359,-1.2607380969195512,-0.8243791770767525,-1.2677418074327675
lne_CHAP1-_AL048A_1,0,0,0.0,0.0,0.0,0.0,-1.0136844403511298,-1.956259741204947,-1.1982036899671549,-1.1887571656764326,-1.2313777345553825,-1.2263925849857134,-1.9008184086533717,-1.2043511852566362,-1.8840300554211344,-1.2333436686903965,-1.8944973884924465
lne_AL048B_GRNA1-_1,0,0,0.0,0.0,0.0,0.0,-6.606306369403253e-05,-6.693170464824515e-05,-4.074305333951065e-05,-4.0421838877950535e-05,-4.1871256898113486e-05,-4.170174393372555e-05,-6.448571020095877e-05,-4.095214836640934e-05,-6.391727256417177e-05,-4.193810569576428e-05,-6.427245944777324e-05
lne_CHAP1-_AL048B_1,0,0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.4618619986188309e-22,-1.816793104776154e-18,5.906740717806553e-19,-1.5794686554477384e-18,-4.866751184776992e-18,1.1057727143959307e-19,1.007779542250834e-18,-1.3653288498332205e-21,2.553398257337818e-18,-2.2374045851194e-19
lne_BV001A_ECCF1J_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_CHAP1-_BV001A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_BV001B_ECCF1K_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne_CHAP1-_BV001B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
