Name,Component,DataType,Post Blackout,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13
EWHC3-_EWHC0G_1,Transformer,Loading,0,0,0,0,0,19.76,9.2,5.83,25.42,24.6,11.59,42.24,40.93,41.74,37.99
CRAG5A_CRAG0A_1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAG5-_CRAG0B_1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAHOT2_LAHO20_T2,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9
GRNAT2_GRNA20_T2,Transformer,Loading,0,0,0,0,0,0,0,0,0,125.64,93.08,61.79,61.62,61.72,41.72
LOBIT2_LOBI20_T2,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,68.12,31.73,32.35,33.8
MOFTT2_MOFT20_T2,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,0,64.26,34.35
GRNAT1_GRNA10_T1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,20.41
MIBIT1_MIBI10_T1,Transformer,Loading,0,0,0,0,0,0,0,105.26,81.17,53.34,52.79,53.34,52.63,52.69,52.39
LAHOT1_LAHO10_T1,Transformer,Loading,0,0,0,0,0,0,0,0,134.13,91.67,57.44,58.15,57.26,57.33,35.56
NEWCT1_NEWC10_T1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,44.28,22.36,22.05,22.08,22.3
CHAP1-_CHAP3-_1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIBAT1_KIBA10_T1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,61.56,45.02,28.94
CHAP1-_CHAP3-_2,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STCR3-_STCR5-_1,Transformer,Loading,0,0,10.37,10.37,12.13,11.19,53.77,63.3,45.8,61.32,50.07,83.6,66.93,72.6,62.56
ANANT1_ANAN10_T1,Transformer,Loading,0,0,0,0,0,0,105.21,78.38,52.36,52.52,52.23,52.7,52.62,52.7,52.73
MINS3-_MINS0G_1,Transformer,Loading,0,0,0,0,2.78,1.17,9.1,7.96,32.53,32.95,32.29,46.55,43.74,43.93,43.47
ANANT2_ANAN20_T2,Transformer,Loading,0,0,0,0,0,0,105.22,78.38,52.36,52.52,52.23,52.7,52.62,52.7,52.22
LOBIT1_LOBI10_T1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,67.69,32.59,32.33,31.31
MOFTT1_MOFT10_T1,Transformer,Loading,0,0,0,0,0,0,0,0,0,0,0,0,65.26,47.46,27.52
EWHC3-_EWHC0G_1,Transformer,Tap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAG5A_CRAG0A_1,Transformer,Tap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAG5-_CRAG0B_1,Transformer,Tap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAHOT2_LAHO20_T2,Transformer,Tap,9,9,9,9,9,9,9,9,9,9,8,7,8,8,8
GRNAT2_GRNA20_T2,Transformer,Tap,11,11,11,11,11,11,11,11,11,8,10,9,10,10,11
LOBIT2_LOBI20_T2,Transformer,Tap,7,7,7,7,7,7,7,7,7,7,7,3,8,7,7
MOFTT2_MOFT20_T2,Transformer,Tap,8,8,8,8,8,8,8,8,8,8,8,8,8,4,7
GRNAT1_GRNA10_T1,Transformer,Tap,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
MIBIT1_MIBI10_T1,Transformer,Tap,9,9,9,9,9,9,9,9,7,8,9,8,9,9,9
LAHOT1_LAHO10_T1,Transformer,Tap,9,9,9,9,9,9,9,9,1,1,5,5,6,6,8
NEWCT1_NEWC10_T1,Transformer,Tap,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1
CHAP1-_CHAP3-_1,Transformer,Tap,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
KIBAT1_KIBA10_T1,Transformer,Tap,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-6,-3
CHAP1-_CHAP3-_2,Transformer,Tap,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STCR3-_STCR5-_1,Transformer,Tap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANANT1_ANAN10_T1,Transformer,Tap,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12
MINS3-_MINS0G_1,Transformer,Tap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANANT2_ANAN20_T2,Transformer,Tap,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12
LOBIT1_LOBI10_T1,Transformer,Tap,7,7,7,7,7,7,7,7,7,7,7,1,3,4,7
MOFTT1_MOFT10_T1,Transformer,Tap,8,8,8,8,8,8,8,8,8,8,8,8,2,5,7
lne_CHAP1-_HAKB1-_1,Line,Loading,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267,30.19153267
CRAG5B_LAHO5-_1,Line,Loading,0,0,0,0,0,0,0,0,3.88E-07,4.25E-07,4.29E-07,4.24E-07,4.25E-07,4.24E-07,4.23E-07
lne_CHAP1-_DUMF1-_1,Line,Loading,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005,17.14627005
LOBI3B_MOFTT2_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,0,0,43.45972527,23.62859096
CHAPX3_LAHO3B_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,9.033478834,4.559406276,4.496296674,4.502951869,14.73490524
CHAP3-_CHAPX1_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,65.87244383,64.00891378,54.98651557,44.59234719
CHAP3-_LOBI3B_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,78.37263546,36.50509978,60.27136911,50.30826201
CHAPX4_KIBAT1_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,0,17.39918428,12.77119951,8.283196433
CHAPX4_MOFTT1_1,Line,Loading,0,0,0,0,0,0,0,0,0,0,0,0,27.52950878,20.01761513,11.6095359
